V11	非 ASCII 带空格	mock-mall	product	 商品-壹 	商品-壹	mock-mall|product|商品-壹	d0291c643b444c49f45ac8973df6966741ed319d5aba993c681efb7172af4795	d0291c643b444c49	组合用例
V12	UUID 大写	mock-mall	user	89A6DB2C-9ECB-4BE0-A24B-9F697DA00686	89A6DB2C-9ECB-4BE0-A24B-9F697DA00686	mock-mall|user|89A6DB2C-9ECB-4BE0-A24B-9F697DA00686	21f71a4b7c67bfaed5ebf0ac94844e807116179f037d00a293b77007c6a05d9a	21f71a4b7c67bfae	与 V01 必须同值
V13	空串	mock-mall	user			(不生成)	(不生成)	(不生成)	不生成键 → DQ/reject
V14	仅空白	mock-mall	user	   		(不生成)	(不生成)	(不生成)	不生成键 → DQ/reject
V15	null	mock-mall	user	(null)	(null)	(不生成)	(不生成)	(不生成)	不生成键 → DQ/reject
V16	同 raw 不同 source	other-src	user	U000065	U000065	other-src|user|U000065	000c353bbb99e5d448551d3b179e19c8158afc77b2039317a41ec9043e878514	000c353bbb99e5d4	与 V04 必须不同值
V17	同 raw 不同类型	mock-mall	product	U000065	U000065	mock-mall|product|U000065	9fe3c7ef8588b7c931e2aa37bc19dfe58f191144885ef810f823f8bfb0eefe80	9fe3c7ef8588b7c9	与 V04 必须不同值
V18	数字字符串 vs 数值	mock-mall	user	0007	0007	mock-mall|user|0007	dba4f8e25f0f6aea865240030f7045c65c74ca15e4bd0d6119af0204216853e6	dba4f8e25f0f6aea	前导零口径
V19	可解析为负数	mock-mall	user	-1	-1	mock-mall|user|-1	d8ed9597fa74d7cd9b81b74e39f19a565065fa34c2361afa7c9db46bd4bc35ac	d8ed9597fa74d7cd	不得与 unknown 哨兵 -1 混淆
V20	含分隔符	mock-mall	payment	P-1001	P-1001	mock-mall|payment|P-1001	ebb96b76ccf07992b38b2a595dc24f1c9acf2edfc7914ba4c3c37be60a161216	ebb96b76ccf07992	黄金集真实取值
V21	多段分隔符	mock-mall	refund	R-1003-A	R-1003-A	mock-mall|refund|R-1003-A	71b299b03a95bbc9dcb10ef9c94639592b80fe90c3792068f3105dc8195f15fc	71b299b03a95bbc9	黄金集真实取值
V22	中文+冒号	mock-mall	user	user:U000001	USER:U000001	mock-mall|user|USER:U000001	dba849c78c65da6c444bf6c237b971dce23b022b9217ea2bc978f4d29d27498e	dba849c78c65da6c	MallApiDispatchSink 规范 ID 形
