row_id	family	expected_outcome	expected_reason_class	note
b1b-evt-0012	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=behavior
b1b-evt-0013	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_created
b1b-evt-0014	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_created
b1b-evt-0015	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_created
b1b-evt-0016	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_created
b1b-evt-0017	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_created
b1b-evt-0018	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_created
b1b-evt-0019	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_paid
b1b-evt-0020	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_paid
b1b-evt-0021	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_paid
b1b-evt-0022	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_paid
b1b-evt-0023	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_paid
b1b-evt-0024	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=order_paid
b1b-evt-0025	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=user_registered
b1b-evt-0026	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=user_registered
b1b-evt-0027	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=user_registered
b1b-evt-0028	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=user_registered
b1b-evt-0029	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=user_registered
b1b-evt-0030	B1B-payload异构	ACCEPT	经画像 fieldMapping/enumSemantics 归一后入库，产出可对账指标	payload 字段名/类型/枚举异构；事件语义=user_registered
